Cond,MPEmo_01,MPEmo_02,MPInt_01,MPInt_02,MPCog_01,MPCog_02,MPCog_01_rev,ArtworkEval_01_P1,ArtworkEval_02_P1,ArtworkEval_03_P1,ArtworkEval_04_P1,ArtworkEval_05_P1,ArtworkEval_06_P1,PercInf_01_P1,PercInf_02_P1,PercInf_03_P1,ArtworkEval_01_P2,ArtworkEval_02_P2,ArtworkEval_03_P2,ArtworkEval_04_P2,ArtworkEval_05_P2,ArtworkEval_06_P2,PercInf_01_P2,PercInf_02_P2,PercInf_03_P2,Import_Creativity,Import_DetTexture,Import_BrushSkill,Import_AestSignificance,AIBetter_1_01,AIBetter_1_02,YoB,G_M1_F2,Race,Race_6_TEXT,Country,ArtLiteracy_1,ArtLiteracy_2,ArtLiteracy_3,ComEfficacy_1,ComEfficacy_2,ComEfficacy_3,AIAttitude_01,AIAttitude_02,AIAttitude_03_rev
AILose,1,1,1,1,1,1,5,4,5,5,3,4,3,4,2,4,4,2,2,2,3,2,4,1,2,3,5,5,4,0,0,1971,2,1,,USA,2,2,2,4,2,4,2,1,3
AILose,1,1,2,2,1,1,5,4,4,4,4,4,2,2,1,2,5,2,2,2,3,2,2,1,2,4,2,4,2,0,0,1979,2,1,,United States,2,1,2,5,1,5,3,3,4
AILose,4,4,4,3,4,4,2,3,3,3,3,4,2,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,3,1,1,1976,1,1,,USA,4,3,4,4,3,4,3,4,3
AILose,1,1,5,5,1,1,5,5,5,5,4,5,5,5,3,4,4,3,3,1,3,1,1,1,1,5,5,5,5,0,0,1950,2,1,,USA,4,3,1,2,4,3,3,3,5
AILose,4,3,4,4,3,3,4,4,3,4,4,3,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,1,1,1972,2,1,,United States,4,3,4,4,3,4,4,5,4
AILose,3,2,4,4,2,3,4,2,4,4,3,3,3,2,2,2,2,1,1,1,2,1,1,1,2,5,3,2,4,1,1,1991,2,1,,UK,4,5,5,5,1,5,4,4,2
AILose,1,1,5,5,2,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3,4,3,4,2,2,5,5,5,5,0,0,1994,1,4,,United States,4,4,4,5,2,4,3,3,3
AILose,1,1,4,5,1,3,5,1,4,4,3,4,2,2,2,2,4,1,3,2,3,1,2,2,2,2,2,1,4,0,0,1974,1,1,,UK,4,4,2,4,2,4,4,4,2
AILose,2,2,3,2,2,2,4,4,4,4,4,4,4,5,3,4,3,2,2,2,2,2,2,2,2,4,4,4,2,1,0,1994,2,"1,2",,usa,4,4,4,5,1,4,4,4,2
AILose,1,1,3,4,1,1,5,4,5,4,2,5,3,4,2,4,4,3,2,1,3,2,4,1,2,5,5,5,4,0,0,1974,1,1,,United States,4,4,5,4,2,4,3,1,2
